district,school,students,grades,year,students_required_to_test_english,students_tested_english,pct_students_tested_english,students_below_expectations_english,students_at_above_expectations_english,pct_below_expectations_english,pct_at_above_expectations_english
Acadia Academy,All Schools,All Students,All Grades,2021,121,116,95.9%,12,104,10.3%,89.7%
Acadia Academy,All Schools,All Students,All Grades,2022,119,114,95.8%,5,109,4.4%,95.6%
Acadia Academy,All Schools,All Students,All Grades,2023,112,108,96.4%,30,78,27.8%,72.2%
Acadia Academy,All Schools,All Students,All Grades,2024,114,114,100.0%,35,79,30.7%,69.3%
Acadia Academy,All Schools,All Students,All Grades,2025,119,119,100.0%,42,77,35.3%,64.7%
Acadia Academy,All Schools,All Students,3,2021,43,42,97.7%,-1,-1,-1.0%,-1.0%
Acadia Academy,All Schools,All Students,3,2022,29,29,100.0%,0,29,0.0%,100.0%
Acadia Academy,All Schools,All Students,3,2023,33,32,97.0%,11,21,34.4%,65.6%
Acadia Academy,All Schools,All Students,3,2024,28,28,100.0%,12,16,42.9%,57.1%
Acadia Academy,All Schools,All Students,3,2025,33,33,100.0%,16,17,48.5%,51.5%
Acadia Academy,All Schools,All Students,4,2021,29,28,96.6%,6,22,21.4%,78.6%
Acadia Academy,All Schools,All Students,4,2022,38,36,94.7%,-1,-1,-1.0%,-1.0%
Acadia Academy,All Schools,All Students,4,2023,27,27,100.0%,8,19,29.6%,70.4%
Acadia Academy,All Schools,All Students,4,2024,33,33,100.0%,12,21,36.4%,63.6%
Acadia Academy,All Schools,All Students,4,2025,30,30,100.0%,10,20,33.3%,66.7%
Acadia Academy,All Schools,All Students,5,2021,30,27,90.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,All Schools,All Students,5,2022,27,27,100.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,All Schools,All Students,5,2023,33,32,97.0%,6,26,18.8%,81.3%
Acadia Academy,All Schools,All Students,5,2024,25,25,100.0%,6,19,24.0%,76.0%
Acadia Academy,All Schools,All Students,5,2025,33,33,100.0%,11,22,33.3%,66.7%
Acadia Academy,All Schools,All Students,6,2021,19,19,100.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,All Schools,All Students,6,2022,25,22,88.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,All Schools,All Students,6,2023,19,17,89.5%,5,12,29.4%,70.6%
Acadia Academy,All Schools,All Students,6,2024,26,26,100.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,All Schools,All Students,6,2025,22,22,100.0%,5,17,22.7%,77.3%
Acadia Academy,Acadia Academy School,All Students,All Grades,2021,121,116,95.9%,12,104,10.3%,89.7%
Acadia Academy,Acadia Academy School,All Students,All Grades,2022,119,114,95.8%,5,109,4.4%,95.6%
Acadia Academy,Acadia Academy School,All Students,All Grades,2023,112,108,96.4%,30,78,27.8%,72.2%
Acadia Academy,Acadia Academy School,All Students,All Grades,2024,112,112,100.0%,34,78,30.4%,69.6%
Acadia Academy,Acadia Academy School,All Students,All Grades,2025,118,118,100.0%,42,76,35.6%,64.4%
Acadia Academy,Acadia Academy School,All Students,3,2021,43,42,97.7%,-1,-1,-1.0%,-1.0%
Acadia Academy,Acadia Academy School,All Students,3,2022,29,29,100.0%,0,29,0.0%,100.0%
Acadia Academy,Acadia Academy School,All Students,3,2023,33,32,97.0%,11,21,34.4%,65.6%
Acadia Academy,Acadia Academy School,All Students,3,2024,28,28,100.0%,12,16,42.9%,57.1%
Acadia Academy,Acadia Academy School,All Students,3,2025,33,33,100.0%,16,17,48.5%,51.5%
Acadia Academy,Acadia Academy School,All Students,4,2021,29,28,96.6%,6,22,21.4%,78.6%
Acadia Academy,Acadia Academy School,All Students,4,2022,38,36,94.7%,-1,-1,-1.0%,-1.0%
Acadia Academy,Acadia Academy School,All Students,4,2023,27,27,100.0%,8,19,29.6%,70.4%
Acadia Academy,Acadia Academy School,All Students,4,2024,33,33,100.0%,12,21,36.4%,63.6%
Acadia Academy,Acadia Academy School,All Students,4,2025,30,30,100.0%,10,20,33.3%,66.7%
Acadia Academy,Acadia Academy School,All Students,5,2021,30,27,90.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,Acadia Academy School,All Students,5,2022,27,27,100.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,Acadia Academy School,All Students,5,2023,33,32,97.0%,6,26,18.8%,81.3%
Acadia Academy,Acadia Academy School,All Students,5,2024,25,25,100.0%,6,19,24.0%,76.0%
Acadia Academy,Acadia Academy School,All Students,5,2025,33,33,100.0%,11,22,33.3%,66.7%
Acadia Academy,Acadia Academy School,All Students,6,2021,19,19,100.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,Acadia Academy School,All Students,6,2022,25,22,88.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,Acadia Academy School,All Students,6,2023,19,17,89.5%,5,12,29.4%,70.6%
Acadia Academy,Acadia Academy School,All Students,6,2024,26,26,100.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,Acadia Academy School,All Students,6,2025,22,22,100.0%,5,17,22.7%,77.3%
Acton Public Schools,All Schools,All Students,All Grades,2021,163,149,91.4%,19,130,12.8%,87.2%
Acton Public Schools,All Schools,All Students,All Grades,2022,156,154,98.7%,21,133,13.6%,86.4%
Acton Public Schools,All Schools,All Students,All Grades,2023,173,170,98.3%,50,120,29.4%,70.6%
Acton Public Schools,All Schools,All Students,All Grades,2024,159,158,99.4%,58,100,36.7%,63.3%
Acton Public Schools,All Schools,All Students,All Grades,2025,173,172,99.4%,81,91,47.1%,52.9%
Acton Public Schools,All Schools,All Students,3,2021,23,23,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,All Schools,All Students,3,2022,25,24,96.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,All Schools,All Students,3,2023,22,22,100.0%,8,14,36.4%,63.6%
Acton Public Schools,All Schools,All Students,3,2024,25,25,100.0%,9,16,36.0%,64.0%
Acton Public Schools,All Schools,All Students,3,2025,25,25,100.0%,6,19,24.0%,76.0%
Acton Public Schools,All Schools,All Students,4,2021,33,32,97.0%,7,25,21.9%,78.1%
Acton Public Schools,All Schools,All Students,4,2022,25,25,100.0%,0,25,0.0%,100.0%
Acton Public Schools,All Schools,All Students,4,2023,20,20,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,All Schools,All Students,4,2024,24,24,100.0%,8,16,33.3%,66.7%
Acton Public Schools,All Schools,All Students,4,2025,28,28,100.0%,10,18,35.7%,64.3%
Acton Public Schools,All Schools,All Students,5,2021,22,22,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,All Schools,All Students,5,2022,31,31,100.0%,7,24,22.6%,77.4%
Acton Public Schools,All Schools,All Students,5,2023,27,27,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,All Schools,All Students,5,2024,19,19,100.0%,5,14,26.3%,73.7%
Acton Public Schools,All Schools,All Students,5,2025,21,21,100.0%,9,12,42.9%,57.1%
Acton Public Schools,All Schools,All Students,6,2021,22,22,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,All Schools,All Students,6,2022,23,23,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,All Schools,All Students,6,2023,33,33,100.0%,12,21,36.4%,63.6%
Acton Public Schools,All Schools,All Students,6,2024,25,25,100.0%,7,18,28.0%,72.0%
Acton Public Schools,All Schools,All Students,6,2025,20,20,100.0%,8,12,40.0%,60.0%
Acton Public Schools,All Schools,All Students,7,2021,12,12,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,All Schools,All Students,7,2022,21,21,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,All Schools,All Students,7,2023,21,21,100.0%,7,14,33.3%,66.7%
Acton Public Schools,All Schools,All Students,7,2024,31,31,100.0%,11,20,35.5%,64.5%
Acton Public Schools,All Schools,All Students,7,2025,22,21,95.5%,14,7,66.7%,33.3%
Acton Public Schools,All Schools,All Students,8,2021,26,26,100.0%,0,26,0.0%,100.0%
Acton Public Schools,All Schools,All Students,8,2022,12,12,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,All Schools,All Students,8,2023,23,23,100.0%,7,16,30.4%,69.6%
Acton Public Schools,All Schools,All Students,8,2024,19,19,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,All Schools,All Students,8,2025,32,32,100.0%,19,13,59.4%,40.6%
Acton Public Schools,Acton Elementary School,All Students,All Grades,2021,138,137,99.3%,17,120,12.4%,87.6%
Acton Public Schools,Acton Elementary School,All Students,All Grades,2022,137,137,100.0%,16,121,11.7%,88.3%
Acton Public Schools,Acton Elementary School,All Students,All Grades,2023,146,146,100.0%,40,106,27.4%,72.6%
Acton Public Schools,Acton Elementary School,All Students,All Grades,2024,143,143,100.0%,44,99,30.8%,69.2%
Acton Public Schools,Acton Elementary School,All Students,All Grades,2025,148,147,99.3%,66,81,44.9%,55.1%
Acton Public Schools,Acton Elementary School,All Students,3,2021,23,23,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,Acton Elementary School,All Students,3,2022,25,24,96.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,Acton Elementary School,All Students,3,2023,22,22,100.0%,8,14,36.4%,63.6%
Acton Public Schools,Acton Elementary School,All Students,3,2024,25,25,100.0%,9,16,36.0%,64.0%
Acton Public Schools,Acton Elementary School,All Students,3,2025,25,25,100.0%,6,19,24.0%,76.0%
Acton Public Schools,Acton Elementary School,All Students,4,2021,33,32,97.0%,7,25,21.9%,78.1%
Acton Public Schools,Acton Elementary School,All Students,4,2022,25,25,100.0%,0,25,0.0%,100.0%
Acton Public Schools,Acton Elementary School,All Students,4,2023,20,20,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,Acton Elementary School,All Students,4,2024,24,24,100.0%,8,16,33.3%,66.7%
Acton Public Schools,Acton Elementary School,All Students,4,2025,28,28,100.0%,10,18,35.7%,64.3%
Acton Public Schools,Acton Elementary School,All Students,5,2021,22,22,100.0%,-1,-1,-1.0%,-1.0%
