district,school,students,grades,year,students_required_to_test_ela,students_tested_ela,pct_students_tested_ela,students_below_expectations_ela,students_at_above_expectations_ela,pct_below_expectations_ela,pct_at_above_expectations_ela
Acadia Academy,All Schools,All Students,All Grades,2021,121,116,95.90%,12,104,10.30%,89.70%
Acadia Academy,All Schools,All Students,All Grades,2022,119,114,95.80%,5,109,4.40%,95.60%
Acadia Academy,All Schools,All Students,All Grades,2023,112,108,96.40%,30,78,27.80%,72.20%
Acadia Academy,All Schools,All Students,All Grades,2024,114,114,100.00%,35,79,30.70%,69.30%
Acadia Academy,All Schools,All Students,All Grades,2025,119,119,100.00%,42,77,35.30%,64.70%
Acadia Academy,All Schools,All Students,3,2021,43,42,97.70%,-1,-1,-1.00%,-1.00%
Acadia Academy,All Schools,All Students,3,2022,29,29,100.00%,0,29,0.00%,100.00%
Acadia Academy,All Schools,All Students,3,2023,33,32,97.00%,11,21,34.40%,65.60%
Acadia Academy,All Schools,All Students,3,2024,28,28,100.00%,12,16,42.90%,57.10%
Acadia Academy,All Schools,All Students,3,2025,33,33,100.00%,16,17,48.50%,51.50%
Acadia Academy,All Schools,All Students,4,2021,29,28,96.60%,6,22,21.40%,78.60%
Acadia Academy,All Schools,All Students,4,2022,38,36,94.70%,-1,-1,-1.00%,-1.00%
Acadia Academy,All Schools,All Students,4,2023,27,27,100.00%,8,19,29.60%,70.40%
Acadia Academy,All Schools,All Students,4,2024,33,33,100.00%,12,21,36.40%,63.60%
Acadia Academy,All Schools,All Students,4,2025,30,30,100.00%,10,20,33.30%,66.70%
Acadia Academy,All Schools,All Students,5,2021,30,27,90.00%,-1,-1,-1.00%,-1.00%
Acadia Academy,All Schools,All Students,5,2022,27,27,100.00%,-1,-1,-1.00%,-1.00%
Acadia Academy,All Schools,All Students,5,2023,33,32,97.00%,6,26,18.80%,81.30%
Acadia Academy,All Schools,All Students,5,2024,25,25,100.00%,6,19,24.00%,76.00%
Acadia Academy,All Schools,All Students,5,2025,33,33,100.00%,11,22,33.30%,66.70%
Acadia Academy,All Schools,All Students,6,2021,19,19,100.00%,-1,-1,-1.00%,-1.00%
Acadia Academy,All Schools,All Students,6,2022,25,22,88.00%,-1,-1,-1.00%,-1.00%
Acadia Academy,All Schools,All Students,6,2023,19,17,89.50%,5,12,29.40%,70.60%
Acadia Academy,All Schools,All Students,6,2024,26,26,100.00%,-1,-1,-1.00%,-1.00%
Acadia Academy,All Schools,All Students,6,2025,22,22,100.00%,5,17,22.70%,77.30%
Acadia Academy,Acadia Academy School,All Students,All Grades,2021,121,116,95.90%,12,104,10.30%,89.70%
Acadia Academy,Acadia Academy School,All Students,All Grades,2022,119,114,95.80%,5,109,4.40%,95.60%
Acadia Academy,Acadia Academy School,All Students,All Grades,2023,112,108,96.40%,30,78,27.80%,72.20%
Acadia Academy,Acadia Academy School,All Students,All Grades,2024,112,112,100.00%,34,78,30.40%,69.60%
Acadia Academy,Acadia Academy School,All Students,All Grades,2025,118,118,100.00%,42,76,35.60%,64.40%
Acadia Academy,Acadia Academy School,All Students,3,2021,43,42,97.70%,-1,-1,-1.00%,-1.00%
Acadia Academy,Acadia Academy School,All Students,3,2022,29,29,100.00%,0,29,0.00%,100.00%
Acadia Academy,Acadia Academy School,All Students,3,2023,33,32,97.00%,11,21,34.40%,65.60%
Acadia Academy,Acadia Academy School,All Students,3,2024,28,28,100.00%,12,16,42.90%,57.10%
Acadia Academy,Acadia Academy School,All Students,3,2025,33,33,100.00%,16,17,48.50%,51.50%
Acadia Academy,Acadia Academy School,All Students,4,2021,29,28,96.60%,6,22,21.40%,78.60%
Acadia Academy,Acadia Academy School,All Students,4,2022,38,36,94.70%,-1,-1,-1.00%,-1.00%
Acadia Academy,Acadia Academy School,All Students,4,2023,27,27,100.00%,8,19,29.60%,70.40%
Acadia Academy,Acadia Academy School,All Students,4,2024,33,33,100.00%,12,21,36.40%,63.60%
