district,district_id,school_name,school_id,year,number
Acadia Academy,1761,Acadia Academy School,1765,2023-2024,0
Acadia Academy,1761,Acadia Academy School,1765,2022-2023,0
Acadia Academy,1761,Acadia Academy School,1765,2021-2022,0
Acadia Academy,1761,Acadia Academy School,1765,2020-2021,0
Acadia Academy,1761,Acadia Academy School,1765,2018-2019,0
Acadia Academy,1761,Acadia Academy School,1765,2017-2018,0
Acton Public Schools,2,Acton Elementary School,3,2023-2024,0
Acton Public Schools,2,Acton Elementary School,3,2022-2023,0
Acton Public Schools,2,Acton Elementary School,3,2021-2022,0
Acton Public Schools,2,Acton Elementary School,3,2020-2021,0
Acton Public Schools,2,Acton Elementary School,3,2018-2019,0
Acton Public Schools,2,Acton Elementary School,3,2017-2018,0
Airline CSD,1038,Airline Community School,1039,2023-2024,0
Airline CSD,1038,Airline Community School,1039,2022-2023,0
Airline CSD,1038,Airline Community School,1039,2021-2022,0
Airline CSD,1038,Airline Community School,1039,2020-2021,0
Airline CSD,1038,Airline Community School,1039,2018-2019,0
Airline CSD,1038,Airline Community School,1039,2017-2018,0
Alexander Public Schools,4,Alexander Elementary,5,2023-2024,0
Alexander Public Schools,4,Alexander Elementary,5,2022-2023,0
Alexander Public Schools,4,Alexander Elementary,5,2021-2022,0
Alexander Public Schools,4,Alexander Elementary,5,2020-2021,0
Alexander Public Schools,4,Alexander Elementary,5,2018-2019,0
Alexander Public Schools,4,Alexander Elementary,5,2017-2018,0
Andover Public Schools,1734,All Schools,  ,2023-2024,0
Andover Public Schools,1734,All Schools,  ,2022-2023,0
Andover Public Schools,1734,All Schools,  ,2021-2022,0
Andover Public Schools,1734,All Schools,  ,2020-2021,0
Andover Public Schools,1734,All Schools,  ,2019-2020,0
Andover Public Schools,1734,All Schools,  ,2018-2019,0
Andover Public Schools,1734,All Schools,  ,2017-2018,0
Andover Public Schools,1734,Andover Elementary School,790,2023-2024,0
Andover Public Schools,1734,Andover Elementary School,790,2022-2023,0
Andover Public Schools,1734,Andover Elementary School,790,2021-2022,0
Andover Public Schools,1734,Andover Elementary School,790,2020-2021,0
Andover Public Schools,1734,Andover Elementary School,790,2018-2019,0
Andover Public Schools,1734,Andover Elementary School,790,2017-2018,0
Appleton Public Schools,9,All Schools,  ,2023-2024,0
Appleton Public Schools,9,All Schools,  ,2022-2023,0
Appleton Public Schools,9,All Schools,  ,2021-2022,0
Appleton Public Schools,9,All Schools,  ,2020-2021,0
Appleton Public Schools,9,All Schools,  ,2018-2019,0
Appleton Public Schools,9,All Schools,  ,2017-2018,0
Appleton Public Schools,9,Appleton Village School,10,2023-2024,0
Appleton Public Schools,9,Appleton Village School,10,2022-2023,0
Appleton Public Schools,9,Appleton Village School,10,2021-2022,0
Appleton Public Schools,9,Appleton Village School,10,2020-2021,0
Appleton Public Schools,9,Appleton Village School,10,2018-2019,0
Appleton Public Schools,9,Appleton Village School,10,2017-2018,0
Arthur R. Gould Sch--LCYDC,1069,All Schools,  ,2023-2024,0
Arthur R. Gould Sch--LCYDC,1069,All Schools,  ,2022-2023,0
Arthur R. Gould Sch--LCYDC,1069,All Schools,  ,2021-2022,0
Arthur R. Gould Sch--LCYDC,1069,All Schools,  ,2020-2021,0
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2023-2024,0
