district,district_id,school,school_id,year,grade_span,ncesid,school_type,county,address,city
Acadia Academy,1761,Acadia Academy School,1765,2024-2025,PK-06,231483123149,Charter,Androscoggin,12 Westminster Street,Lewiston
Acadia Academy,1761,Acadia Academy School,1765,2023-2024,PK-06,231483123149,Charter,Androscoggin,12 Westminster Street,Lewiston
Acadia Academy,1761,Acadia Academy School,1765,2022-2023,PK-06,231483123149,Charter,Androscoggin,12 Westminster Street,Lewiston
Acadia Academy,1761,Acadia Academy School,1765,2021-2022,PK-06,231483123149,Charter,Androscoggin,12 Westminster Street,Lewiston
Acadia Academy,1761,Acadia Academy School,1765,2020-2021,PK-06,231483123149,Charter,Androscoggin,12 Westminster Street,Lewiston
Acadia Academy,1761,Acadia Academy School,1765,2019-2020,PK-05,231483123149,Charter,Androscoggin,12 Westminster Street,Lewiston
Acadia Academy,1761,Acadia Academy School,1765,2018-2019,PR-04,231483123149,Charter,Androscoggin,12 Westminster Street,Lewiston
Acadia Academy,1761,Acadia Academy School,1765,2017-2018,PR-03,231483123149,Charter,Androscoggin,12 Westminster Street,Lewiston
Acton Public Schools,2,Acton Elementary School,3,2024-2025,PK-08,230222000001,Public,York,700 Milton Mills Road,Acton
Acton Public Schools,2,Acton Elementary School,3,2023-2024,PK-08,230222000001,Public,York,700 Milton Mills Road,Acton
Acton Public Schools,2,Acton Elementary School,3,2022-2023,PK-08,230222000001,Public,York,700 Milton Mills Road,Acton
Acton Public Schools,2,Acton Elementary School,3,2021-2022,PK-08,230222000001,Public,York,135 Whites Bridge Road,Acton
Acton Public Schools,2,Acton Elementary School,3,2020-2021,PK-08,230222000001,Public,York,135 Whites Bridge Road,Acton
Acton Public Schools,2,Acton Elementary School,3,2019-2020,PK-08,230222000001,Public,York,700 Milton Mills Road,Acton
Acton Public Schools,2,Acton Elementary School,3,2018-2019,PR-08,230222000001,Public,York,700 Milton Mills Road,Acton
Acton Public Schools,2,Acton Elementary School,3,2017-2018,PR-08,230222000001,Public,York,700 Milton Mills Road,Acton
Airline CSD,1038,Airline Community School,1039,2024-2025,PK-08,230250000007,Public,Hancock,26 Great Pond Road,Aurora
Airline CSD,1038,Airline Community School,1039,2023-2024,PK-08,230250000007,Public,Hancock,26 Great Pond Road,Aurora
Airline CSD,1038,Airline Community School,1039,2022-2023,PK-08,230250000007,Public,Hancock,26 Great Pond Road,Aurora
Airline CSD,1038,Airline Community School,1039,2021-2022,PK-08,230250000007,Public,Hancock,26 Great Pond Road,Aurora
Airline CSD,1038,Airline Community School,1039,2020-2021,PK-08,230250000007,Public,Hancock,26 Great Pond Road,Aurora
Airline CSD,1038,Airline Community School,1039,2019-2020,PK-08,230250000007,Public,Hancock,26 Great Pond Road,Aurora
Airline CSD,1038,Airline Community School,1039,2018-2019,PR-08,230250000007,Public,Hancock,26 Great Pond Road,Aurora
Airline CSD,1038,Airline Community School,1039,2017-2018,PR-08,230250000007,Public,Hancock,26 Great Pond Road,Aurora
Alexander Public Schools,4,Alexander Elementary,5,2024-2025,PK-08,230228000975,Public,Washington,1430 Airline Road,Alexander
Alexander Public Schools,4,Alexander Elementary,5,2023-2024,PK-08,230228000975,Public,Washington,1430 Airline Road,Alexander
Alexander Public Schools,4,Alexander Elementary,5,2022-2023,PK-08,230228000975,Public,Washington,1430 Airline Road,Alexander
Alexander Public Schools,4,Alexander Elementary,5,2021-2022,PK-08,230228000975,Public,Washington,1430 Airline Road,Alexander
Alexander Public Schools,4,Alexander Elementary,5,2020-2021,PK-08,230228000975,Public,Washington,1430 Airline Road,Alexander
Alexander Public Schools,4,Alexander Elementary,5,2019-2020,PK-08,230228000975,Public,Washington,1430 Airline Road,Alexander
Alexander Public Schools,4,Alexander Elementary,5,2018-2019,PR-08,230228000975,Public,Washington,1430 Airline Road,Alexander
Alexander Public Schools,4,Alexander Elementary,5,2017-2018,PR-08,230228000975,Public,Washington,1430 Airline Road,Alexander
Andover Public Schools,1734,Andover Elementary School,790,2024-2025,PK-05,231482300505,Public,Oxford,85 Pine St.,Andover
Andover Public Schools,1734,Andover Elementary School,790,2023-2024,PK-05,231482300505,Public,Oxford,85 Pine St.,Andover
Andover Public Schools,1734,Andover Elementary School,790,2022-2023,PK-05,231482300505,Public,Oxford,85 Pine St.,Andover
Andover Public Schools,1734,Andover Elementary School,790,2021-2022,PK-05,231482300505,Public,Oxford,85 Pine St.,Andover
Andover Public Schools,1734,Andover Elementary School,790,2020-2021,PK-05,231482300505,Public,Oxford,85 Pine St.,Andover
Andover Public Schools,1734,Andover Elementary School,790,2019-2020,PK-05,231482300505,Public,Oxford,85 Pine St.,Andover
Andover Public Schools,1734,Andover Elementary School,790,2018-2019,PR-05,231482300505,Public,Oxford,85 Pine St.,Andover
Andover Public Schools,1734,Andover Elementary School,790,2017-2018,PR-05,231482300505,Public,Oxford,85 Pine St.,Andover
Appleton Public Schools,9,Appleton Village School,10,2024-2025,PK-08,230251000906,Public,Knox,737 Union Road,Appleton
Appleton Public Schools,9,Appleton Village School,10,2023-2024,PK-08,230251000906,Public,Knox,737 Union Road,Appleton
Appleton Public Schools,9,Appleton Village School,10,2022-2023,PK-08,230251000906,Public,Knox,737 Union Road,Appleton
Appleton Public Schools,9,Appleton Village School,10,2021-2022,KG-08,230251000906,Public,Knox,737 Union Road,Appleton
Appleton Public Schools,9,Appleton Village School,10,2020-2021,KG-08,230251000906,Public,Knox,737 Union Road,Appleton
Appleton Public Schools,9,Appleton Village School,10,2019-2020,KG-08,230251000906,Public,Knox,737 Union Road,Appleton
Appleton Public Schools,9,Appleton Village School,10,2018-2019,KG-08,230251000906,Public,Knox,444 Camden Road,Appleton
Appleton Public Schools,9,Appleton Village School,10,2017-2018,KG-08,230251000906,Public,Knox,737 Union Road,Appleton
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2024-2025,07-12,230005000377,State Operated,Cumberland,675 Westbrook Street,South Portland
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2023-2024,07-12,230005000377,State Operated,Cumberland,675 Westbrook Street,South Portland
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2022-2023,07-12,230005000377,State Operated,Cumberland,675 Westbrook Street,South Portland
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2021-2022,07-12,230005000377,State Operated,Cumberland,675 Westbrook Street,South Portland
