district,school,students,grades,year,students_required_to_test_science,students_tested_science,pct_students_tested_science,students_below_expectations_science,students_at_above_expectations_science,pct_below_expectations_science,pct_at_above_expectations_science
Acadia Academy,All Schools,All Students,All Grades,2021,30,27,90.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,All Schools,All Students,All Grades,2022,27,27,100.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,All Schools,All Students,All Grades,2023,33,31,93.9%,22,9,71.0%,29.0%
Acadia Academy,All Schools,All Students,All Grades,2024,25,25,100.0%,11,14,44.0%,56.0%
Acadia Academy,All Schools,All Students,All Grades,2025,33,32,97.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,All Schools,All Students,5,2021,30,0,0.0%,0,0,0.0%,0.0%
Acadia Academy,All Schools,All Students,5,2022,27,27,100.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,All Schools,All Students,5,2023,33,31,93.9%,22,9,71.0%,29.0%
Acadia Academy,All Schools,All Students,5,2024,25,25,100.0%,11,14,44.0%,56.0%
Acadia Academy,All Schools,All Students,5,2025,33,32,97.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,Acadia Academy School,All Students,All Grades,2021,30,27,90.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,Acadia Academy School,All Students,All Grades,2022,27,27,100.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,Acadia Academy School,All Students,All Grades,2023,33,31,93.9%,22,9,71.0%,29.0%
Acadia Academy,Acadia Academy School,All Students,All Grades,2024,25,25,100.0%,11,14,44.0%,56.0%
Acadia Academy,Acadia Academy School,All Students,All Grades,2025,33,32,97.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,Acadia Academy School,All Students,5,2021,30,0,0.0%,0,0,0.0%,0.0%
Acadia Academy,Acadia Academy School,All Students,5,2022,27,27,100.0%,-1,-1,-1.0%,-1.0%
Acadia Academy,Acadia Academy School,All Students,5,2023,33,31,93.9%,22,9,71.0%,29.0%
Acadia Academy,Acadia Academy School,All Students,5,2024,25,25,100.0%,11,14,44.0%,56.0%
